Repositorio Institucional CICESE,oai_url,alive,"alive_item ",number_of_items,response_time,checked_url,final_url,probe_used,software,version,Version_Status,disponible en RN,redirect_chain,error_message,"Notas ","Contacto ",Última fecha de actividad
Aggregator of Repositorio Nacional,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,TRUE,TRUE,,1.16,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,,,,,Vigente
Repositorio Institucional de INFOTEC,https://infotec.repositorioinstitucional.mx/oai/request,TRUE,TRUE,638,0.31,https://infotec.repositorioinstitucional.mx/oai/request?verb=Identify,https://infotec.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio Digital CIDE,https://cide.repositorioinstitucional.mx/oai/request,TRUE,TRUE,947,0.29,https://cide.repositorioinstitucional.mx/oai/request?verb=Identify,https://cide.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Ameyalli - Repositorio Universitario Especializado en Comunicación Pública de la Ciencia,https://ru.ameyalli.dgdc.unam.mx/oai/request,TRUE,TRUE,19,,https://ru.ameyalli.dgdc.unam.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,6.2,Obsolete,FALSE,,"HTTPSConnectionPool(host='ru.ameyalli.dgdc.unam.mx', port=443): Read timed out. (read timeout=15)",,,Vigente
REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,TRUE,TRUE,1864,0.33,https://ciesas.repositorioinstitucional.mx/oai/request?verb=Identify,https://ciesas.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,TRUE,TRUE,224,0.35,https://ciatec.repositorioinstitucional.mx/oai/request?verb=Identify,https://ciatec.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,FALSE,,,,,Vigente
Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,TRUE,TRUE,2087,0.3,https://ipicyt.repositorioinstitucional.mx/oai/request?verb=Identify,https://ipicyt.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,TRUE,TRUE,1682,0.35,https://colsan.repositorioinstitucional.mx/oai/request?verb=Identify,https://colsan.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,TRUE,TRUE,895,0.31,https://inecol.repositorioinstitucional.mx/oai/request?verb=Identify,https://inecol.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional CICY,https://cicy.repositorioinstitucional.mx/oai/request,TRUE,TRUE,3271,0.31,https://cicy.repositorioinstitucional.mx/oai/request?verb=Identify,https://cicy.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio MORA,https://mora.repositorioinstitucional.mx/oai/request,TRUE,TRUE,837,0.29,https://mora.repositorioinstitucional.mx/oai/request?verb=Identify,https://mora.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Aggregator of Repositorio Nacional,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,TRUE,TRUE,,1.12,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,,,,,Vigente
Repositorio Institucional del Centro de Investigación en Química Aplicada,https://ciqa.repositorioinstitucional.mx/oai/request,TRUE,TRUE,755,0.28,https://ciqa.repositorioinstitucional.mx/oai/request?verb=Identify,https://ciqa.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional de CIATEJ,https://ciatej.repositorioinstitucional.mx/oai/request,TRUE,FALSE,,0.29,https://ciatej.repositorioinstitucional.mx/oai/request?verb=Identify,https://ciatej.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,,,,,,Vigente
Repositorio Institucional del INAOE,https://inaoe.repositorioinstitucional.mx/oai/request,TRUE,TRUE,2675,0.31,https://inaoe.repositorioinstitucional.mx/oai/request?verb=Identify,https://inaoe.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional FLACSO México,https://flacso.repositorioinstitucional.mx/oai/request,TRUE,TRUE,481,0.38,https://flacso.repositorioinstitucional.mx/oai/request?verb=Identify,https://flacso.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,FALSE,,,,,Vigente
COMIMSA,https://comimsa.repositorioinstitucional.mx/oai/request,TRUE,TRUE,382,0.31,https://comimsa.repositorioinstitucional.mx/oai/request?verb=Identify,https://comimsa.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,FALSE,,,,,Vigente
Fuente de Objetos Científicos Open Access,https://cimav.repositorioinstitucional.mx/oai/request,TRUE,TRUE,2657,0.33,https://cimav.repositorioinstitucional.mx/oai/request?verb=Identify,https://cimav.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional CICESE,https://cicese.repositorioinstitucional.mx/oai/request,TRUE,TRUE,4008,0.3,https://cicese.repositorioinstitucional.mx/oai/request?verb=Identify,https://cicese.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,FALSE,,,,,Vigente
Repositorio Institucional CIDESI,https://cidesi.repositorioinstitucional.mx/oai/request,TRUE,TRUE,327,0.29,https://cidesi.repositorioinstitucional.mx/oai/request?verb=Identify,https://cidesi.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,FALSE,,,,,Vigente
REPOSITORIO INSTITUCIONAL CIDETEQ,https://cideteq.repositorioinstitucional.mx/oai/request,TRUE,TRUE,479,0.33,https://cideteq.repositorioinstitucional.mx/oai/request?verb=Identify,https://cideteq.repositorioinstitucional.mx/oai/request?verb=Identify,OAI-PMH,DSpace,5.4,Obsolete,TRUE,,,,,Vigente
